repository name,stars,watchings,forks,Languages
Algorithmic-Trading-Strategy,0,1,0,['Python']
Git_Practice,0,1,0,['Python']
Python-Code-Style,0,1,0,None
Python-Programming-Assignments,0,1,0,['Jupyter']
code_snippets,0,0,17.5k,"['Jupyter', 'Python', 'HTML', 'CSS', 'Shell', 'JavaScript']"
Github_data_scraper,0,1,0,"['Jupyter', 'Python']"
Image_scraper,0,1,0,['Python']
Review_scraper_project,0,1,0,"['CSS', 'Python', 'HTML', 'Procfile']"
PY_WEB_SCRAPER,0,1,0,['Python']
APIs-HTTP-HTML_webscrap,0,1,0,['Jupyter']
Review_scrapper,0,1,0,None
Web_scrapping,0,1,0,"['CSS', 'Python', 'HTML', 'Procfile']"
Advance_Python,0,1,1,None
Python-fundamentals,0,1,2,None
Python-Assignments,0,1,0,['Jupyter']
medium-blog-posts,0,0,20,"['HTML', 'Jupyter', 'Other']"
